Security,Symbol
Aflac,AFL
Allstate,ALL
American Express,AXP
American International Group,AIG
Ameriprise Financial,AMP
Aon,AON
Arch Capital Group,ACGL
Arthur J. Gallagher & Co.,AJG
Assurant,AIZ
Bank of America,BAC
Berkley,WRB
Berkshire Hathaway,BRK.B
BlackRock,BLK
BNY Mellon,BK
Brown & Brown,BRO
Capital One,COF
Cboe Global Markets,CBOE
Charles Schwab Corporation,SCHW
Chubb Limited,CB
Cincinnati Financial,CINF
Citigroup,C
Citizens Financial Group,CFG
CME Group,CME
Comerica,CMA
Discover Financial,DFS
Everest Re,EG
FactSet,FDS
Fifth Third Bank,FITB
FIS,FIS
Fiserv,FI
Fleetcor,FLT
Franklin Templeton,BEN
Globe Life,GL
Global Payments,GPN
Goldman Sachs,GS
Hartford (The),HIG
Huntington Bancshares,HBAN
Intercontinental Exchange,ICE
Invesco,IVZ
Jack Henry & Associates,JKHY
JPMorgan Chase,JPM
KeyCorp,KEY
Lincoln Financial,LNC
Loews Corporation,L
M&T Bank,MTB
MarketAxess,MKTX
Marsh McLennan,MMC
Mastercard,MA
MetLife,MET
Moody's Corporation,MCO
Morgan Stanley,MS
MSCI,MSCI
"Nasdaq, Inc.",NDAQ
Northern Trust,NTRS
PayPal,PYPL
PNC Financial Services,PNC
Principal Financial Group,PFG
Progressive Corporation,PGR
Prudential Financial,PRU
Raymond James,RJF
Regions Financial Corporation,RF
S&P Global,SPGI
State Street Corporation,STT
Synchrony Financial,SYF
T. Rowe Price,TROW
Travelers Companies (The),TRV
Truist,TFC
U.S. Bank,USB
Visa Inc.,V
Wells Fargo,WFC
Willis Towers Watson,WTW
Zions Bancorporation,ZION
