Security,Symbol
3M,MMM
A. O. Smith,AOS
ADP,ADP
Alaska Air Group,ALK
Allegion,ALLE
American Airlines Group,AAL
Ametek,AME
Axon Enterprise,AXON
Boeing,BA
Broadridge Financial Solutions,BR
C.H. Robinson,CHRW
Carrier Global,CARR
Caterpillar Inc.,CAT
Cintas,CTAS
Copart,CPRT
CoStar Group,CSGP
CSX,CSX
Cummins,CMI
John Deere,DE
Delta Air Lines,DAL
Dover Corporation,DOV
Eaton Corporation,ETN
Emerson Electric,EMR
Equifax,EFX
Expeditors International,EXPD
Fastenal,FAST
FedEx,FDX
Fortive,FTV
Generac,GNRC
General Dynamics,GD
General Electric,GE
Honeywell,HON
Howmet Aerospace,HWM
Huntington Ingalls Industries,HII
IDEX Corporation,IEX
Illinois Tool Works,ITW
Ingersoll Rand,IR
J.B. Hunt,JBHT
Jacobs Solutions,J
Johnson Controls,JCI
L3Harris,LHX
Leidos,LDOS
Lockheed Martin,LMT
Masco,MAS
Nordson Corporation,NDSN
Norfolk Southern Railway,NSC
Northrop Grumman,NOC
Old Dominion,ODFL
Otis Worldwide,OTIS
Paccar,PCAR
Parker Hannifin,PH
Paychex,PAYX
Pentair,PNR
Quanta Services,PWR
Raytheon Technologies,RTX
Republic Services,RSG
Robert Half,RHI
Rockwell Automation,ROK
"Rollins, Inc.",ROL
Snap-on,SNA
Southwest Airlines,LUV
Stanley Black & Decker,SWK
Textron,TXT
Trane Technologies,TT
TransDigm Group,TDG
Union Pacific Corporation,UNP
United Airlines Holdings,UAL
United Parcel Service,UPS
United Rentals,URI
Verisk,VRSK
Wabtec,WAB
Waste Management,WM
W. W. Grainger,GWW
Xylem Inc.,XYL
