Security,Symbol
Accenture,ACN
Adobe Inc.,ADBE
Akamai,AKAM
AMD,AMD
Amphenol,APH
Analog Devices,ADI
Ansys,ANSS
Apple Inc.,AAPL
Applied Materials,AMAT
Arista Networks,ANET
Autodesk,ADSK
Broadcom Inc.,AVGO
Cadence Design Systems,CDNS
CDW,CDW
Ceridian,CDAY
Cisco,CSCO
Cognizant,CTSH
Corning Inc.,GLW
DXC Technology,DXC
Enphase,ENPH
EPAM Systems,EPAM
"F5, Inc.",FFIV
Fair Isaac,FICO
First Solar,FSLR
Fortinet,FTNT
Gartner,IT
Gen Digital,GEN
Hewlett Packard Enterprise,HPE
HP Inc.,HPQ
IBM,IBM
Intel,INTC
Intuit,INTU
Juniper Networks,JNPR
Keysight,KEYS
KLA Corporation,KLAC
Lam Research,LRCX
Microchip Technology,MCHP
Micron Technology,MU
Microsoft,MSFT
Monolithic Power Systems,MPWR
Motorola Solutions,MSI
NetApp,NTAP
Nvidia,NVDA
NXP Semiconductors,NXPI
ON Semiconductor,ON
Oracle Corporation,ORCL
Palo Alto Networks,PANW
Paycom,PAYC
PTC,PTC
Qorvo,QRVO
Qualcomm,QCOM
Roper Technologies,ROP
Salesforce,CRM
Seagate Technology,STX
ServiceNow,NOW
Skyworks Solutions,SWKS
SolarEdge,SEDG
Synopsys,SNPS
TE Connectivity,TEL
Teledyne Technologies,TDY
Teradyne,TER
Texas Instruments,TXN
Trimble Inc.,TRMB
Tyler Technologies,TYL
Verisign,VRSN
Western Digital,WDC
Zebra Technologies,ZBRA
