Security,Symbol
Air Products and Chemicals,APD
Albemarle Corporation,ALB
Amcor,AMCR
Avery Dennison,AVY
Ball Corporation,BALL
Celanese,CE
CF Industries,CF
Corteva,CTVA
Dow Inc.,DOW
DuPont,DD
Eastman Chemical Company,EMN
Ecolab,ECL
FMC Corporation,FMC
Freeport-McMoRan,FCX
International Flavors & Fragrances,IFF
International Paper,IP
Linde plc,LIN
LyondellBasell,LYB
Martin Marietta Materials,MLM
Mosaic Company (The),MOS
Newmont,NEM
Nucor,NUE
Packaging Corporation of America,PKG
PPG Industries,PPG
Sealed Air,SEE
Sherwin-Williams,SHW
Steel Dynamics,STLD
Vulcan Materials Company,VMC
WestRock,WRK
