Security,Symbol
AES Corporation,AES
Alliant Energy,LNT
Ameren,AEE
American Electric Power,AEP
American Water Works,AWK
Atmos Energy,ATO
CenterPoint Energy,CNP
CMS Energy,CMS
Consolidated Edison,ED
Constellation Energy,CEG
Dominion Energy,D
DTE Energy,DTE
Duke Energy,DUK
Edison International,EIX
Entergy,ETR
Evergy,EVRG
Eversource,ES
Exelon,EXC
FirstEnergy,FE
NextEra Energy,NEE
NiSource,NI
NRG Energy,NRG
PG&E Corporation,PCG
Pinnacle West,PNW
PPL Corporation,PPL
Public Service Enterprise Group,PEG
Sempra Energy,SRE
Southern Company,SO
WEC Energy Group,WEC
Xcel Energy,XEL
